id|name
204554|Abílio Santana
204521|Abou Anni
204379|Acácio Favacho
204560|Adolfo Viana
204528|Adriana Ventura
121948|Adriano do Baldy
74646|Aécio Neves
141372|Aelton Freitas
160508|Afonso Florence
136811|Afonso Hamm
178835|Afonso Motta
160527|Aguinaldo Ribeiro
204495|Airton Faleiro
204549|AJ Albuquerque
178836|Alan Rick
160559|Alceu Moreira
204413|Alcides Rodrigues
204545|Alê Silva
204501|Alencar Santana Braga
160511|Alessandro Molon
178972|Alex Manente
204571|Alex Santana
204544|Alexandre Frota
160545|Alexandre Leite
204503|Alexandre Padilha
204516|Alexis Fonteyne
74057|Alice Portugal
178927|Aliel Machado
204353|Aline Gurgel
204400|Aline Sleutjes
178937|Altineu Côrtes
178881|Aluisio Mendes
204356|Amaro Neto
178831|André Abdon
74471|André de Paula
204423|André Ferreira
133439|André Figueiredo
178882|André Fufuca
204515|André Janones
73696|Angela Amin
74212|Aníbal Gomes
160553|Antonio Brito
73433|Arlindo Chinaglia
141391|Arnaldo Jardim
204414|Aroldo Martins
160541|Arthur Lira
160600|Arthur Oliveira Maia
74090|Átila Lins
74459|Átila Lira
160665|Augusto Coutinho
204509|Áurea Carolina
160512|Aureo Ribeiro
69871|Bacelar
178975|Baleia Rossi
73701|Benedita da Silva
109429|Benes Leocádio
141335|Beto Faro
204358|Beto Pereira
178948|Beto Rosado
207176|Bia Cavassa
204374|Bia Kicis
204388|Bibo Nunes
141513|Bilac Pinto
204561|Bira do Pindaré
204397|Boca Aberta
160538|Bohn Gass
74052|Bosco Costa
204551|Bosco Saraiva
204502|Bozzella
160589|Bruna Furlan
93083|Cacá Leão
204352|Camilo Capiberibe
204572|Capitão Alberto Neto
178829|Capitão Augusto
178924|Capitão Fábio Abreu
204487|Capitão Wagner
213762|Carla Dickson
204507|Carla Zambelli
204361|Carlos Chiodini
178962|Carlos Gomes
178993|Carlos Henrique Gaguim
204460|Carlos Jordy
74262|Carlos Sampaio
204426|Carlos Veras
141398|Carlos Zarattini
164360|Carmen Zanotto
204369|Caroline de Toni
204499|Cássio Andrade
204380|Celina Leão
204370|Célio Moura
178876|Célio Silveira
204488|Célio Studart
141405|Celso Maldaner
73441|Celso Russomanno
204496|Celso Sabino
204504|Cezinha de Madureira
205476|Charles Fernandes
204490|Charlles Evangelista
141439|Chico D'Angelo
204476|Chiquinho Brazão
204462|Chris Tonietto
178928|Christiane de Souza Yared
204440|Christino Aureo
178939|Clarissa Garotinho
74537|Claudio Cajado
141408|Cleber Verde
204376|Coronel Armando
204378|Coronel Chrisóstomo
204514|Coronel Tadeu
178963|Covatti Filho
135054|Cristiano Vale
204355|Da Vitoria
141411|Dagoberto Nogueira
74467|Damião Feliciano
74060|Daniel Almeida
178916|Daniel Coelho
204367|Daniel Freitas
204454|Daniel Silveira
204409|Daniel Trzeciak
204459|Daniela do Waguinho
160528|Danilo Cabral
62881|Danilo Forte
116379|Darci de Matos
205548|David Miranda
204511|David Soares
204451|Delegado Antônio Furtado
178908|Delegado Éder Mauro
204512|Delegado Marcelo Freitas
204569|Delegado Pablo
164359|Delegado Waldir
160588|Diego Andrade
178929|Diego Garcia
160599|Dimas Fabiano
143632|Domingos Neto
160758|Domingos Sávio
204518|Dr. Frederico
212625|Dr. Gonçalo
204481|Dr. Jaziel
204439|Dr. Leonardo
204450|Dr. Luiz Antonio Teixeira Jr.
204351|Dr. Luiz Ovando
204412|Dr. Zacharias Calil
81297|Dra. Soraya Manato
204434|Dra. Vanda Milani
178994|Dulce Miranda
204562|Edilázio Júnior
141417|Edio Lopes
204421|Edna Henrique
74655|Eduardo Barbosa
204541|Eduardo Bismarck
92346|Eduardo Bolsonaro
204500|Eduardo Costa
178977|Eduardo Cury
141421|Eduardo da Fonte
141422|Efraim Filho
74075|Elcione Barbalho
204364|Eli Borges
160532|Eli Corrêa Filho
204389|Elias Vaz
178854|Elmar Nascimento
198783|Emanuel Pinheiro Neto
161550|Emidinho Madeira
132504|Enio Verri
204537|Enrico Misasi
160575|Erika Kokay
160640|Eros Biondini
204482|Euclydes Pettersen
178871|Evair Vieira de Melo
178953|Expedito Netto
68720|Fábio Henrique
178969|Fábio Mitidieri
141427|Fábio Ramalho
171623|Fabio Reis
204368|Fabio Schiochet
160587|Fábio Trad
66828|Fausto Pinato
204477|Felício Laterça
72442|Felipe Carreras
204398|Felipe Francischini
204371|Felipe Rigoni
160666|Félix Mendonça Júnior
204407|Fernanda Melchionna
141431|Fernando Coelho Filho
92699|Fernando Monteiro
204427|Fernando Rodolfo
204411|Filipe Barros
160598|Flávia Morais
141434|Flaviano Melo
191923|Flávio Nogueira
204447|Flordelis
204392|Francisco Jr.
204510|Franco Cartafina
204494|Fred Costa
204393|Frei Anastacio Ribeiro
74200|Gastão Vieira
115746|Gelson Azevedo
160669|Genecias Noronha
204473|General Girão
204484|General Peternelli
204527|Geninho Zuliani
178966|Geovania de Sá
204394|Gervásio Maia
74383|Giacobo
204575|Gil Cutrim
204491|Gilberto Abramo
74270|Gilberto Nascimento
204365|Gilson Marques
160673|Giovani Cherini
178996|Giovani Feltes
152605|Glauber Braga
204419|Glaustin da Fokus
107283|Gleisi Hoffmann
74419|Gonzaga Patriota
198197|Greyce Elias
204513|Guiga Peixoto
204531|Guilherme Derrite
160667|Guilherme Mussi
204442|Gurgel
73460|Gustavo Fruet
204408|Gustinho Ribeiro
204456|Gutemberg Reis
204465|Haroldo Cathedral
204548|Heitor Freire
178964|Heitor Schuch
178873|Helder Salomão
204373|Hélio Costa
178909|Hélio Leite
204444|Helio Lopes
73482|Henrique Fontana
204539|Hercílio Coelho Diniz
178981|Herculano Passos
73772|Hermes Parcianello
178884|Hildo Rocha
178959|Hiran Gonçalves
141450|Hugo Leal
160674|Hugo Motta
204533|Idilvan Alencar
204564|Igor Kannário
204508|Igor Timo
67138|Iracema Portella
204436|Isnaldo Bulhões Jr.
73531|Ivan Valente
74848|Jandira Feghali
108338|Jaqueline Cassol
74273|Jefferson Campos
160570|Jerônimo Goergen
178839|Jéssica Sales
204435|Jesus Sérgio
160531|Jhonatan de Jesus
74366|João Campos
141458|João Carlos Bacelar
178970|João Daniel
141459|João Maia
112437|João Marcelo Souza
178910|Joaquim Passarinho
204468|Joenia Wapichana
204546|Joice Hasselmann
205550|Jorge Braz
178857|Jorge Solla
141464|José Airton Félix Cirilo
141470|José Guimarães
204386|Jose Mario Schreiner
204472|José Medeiros
204391|José Nelto
160619|José Nunes
74079|José Priante
204555|José Ricardo
74554|José Rocha
209189|Joseildo Ramos
204563|Josimar Maranhãozinho
215043|Josivaldo JP
204474|Juarez Costa
204420|Julian Lemos
74317|Júlio Cesar
204372|Julio Cesar Ribeiro
73586|Júlio Delgado
204457|Juninho do Pneu
204520|Junio Amaral
204497|Júnior Ferrari
204574|Junior Lourenço
204550|Júnior Mano
178886|Juscelino Filho
204536|Kim Kataguiri
151208|Laercio Oliveira
141478|Laerte Bessa
98057|Lafayette de Andrada
160534|Lauriete
178832|Leandre
204375|Leda Sadala
178825|LEO DE BRITO
204359|Léo Moraes
204547|Léo Motta
122195|Leonardo Gadelha
74156|Leonardo Monteiro
74299|Leônidas Cristino
92102|Leur Lomanto Júnior
139285|Lídice da Mata
74585|Lincoln Portela
204405|Liziane Bayer
204382|Loester Trutis
196358|Lourival Gomes
204523|Lucas Gonzalez
204404|Lucas Redecker
178879|Lucas Vergilio
74478|Luciano Bivar
178931|Luciano Ducci
178954|Lucio Mosquini
204381|Luis Miranda
160510|Luis Tibé
204410|Luisa Canziani
204448|Luiz Antônio Corrêa
160645|Luiz Carlos
204485|Luiz Carlos Motta
204455|Luiz Lima
162332|Luiz Nishimori
204526|Luiz Philippe de Orleans e Bragança
74784|Luiza Erundina
204418|Luizão Goulart
178866|Luizianne Lins
166402|Magda Mofatto
204458|Major Fabiana
204471|Mara Rocha
156190|Marcel van Hattem
179000|Marcelo Álvaro Antônio
146788|Marcelo Aro
205863|Marcelo Brum
76874|Marcelo Freixo
133810|Marcelo Moraes
204558|Marcelo Nilo
204556|Marcelo Ramos
178983|Marcio Alvino
179001|Márcio Biolchi
204452|Márcio Labre
150418|Márcio Marinho
204522|Marco Bertaiolli
160535|Marcon
204431|Marcos Aurélio Sampaio
204506|Marcos Pereira
178943|Marcos Soares
204430|Margarete Coelho
74398|Maria do Rosário
204540|Maria Rosas
178956|Mariana Carvalho
204428|Marília Arraes
204432|Marina Santos
74158|Mário Heringer
178858|Mário Negromonte Jr.
204403|Marlon Santos
204566|Marreca Filho
178843|Marx Beltrão
75431|Maurício Dziedricki
74749|Mauro Lopes
141508|Mauro Nazif
188097|Merlong Solano
178985|Miguel Lombardi
92172|Milton Coelho
154178|Milton Vieira
178895|Misael Varella
178997|Moses Rodrigues
204453|Natália Bonavides
204449|Nelson Barbudo
204415|Nereu Crispim
146307|Neri Geller
74165|Neucimar Fraga
178896|Newton Cardoso Jr
204479|Nicoletti
74352|Nilson Pinto
178986|Nilto Tatto
194260|Nivaldo Albuquerque
66179|Norma Ayub
74159|Odair Cunha
178868|Odorico Monteiro
204498|Olival Marques
178987|Orlando Silva
204363|Osires Damaso
73692|Osmar Terra
204422|Ossesio Silva
141515|Otavio Leite
204441|Otoni de Paula
204475|Ottaci Nascimento
204573|Otto Alencar Filho
160556|Padre João
160642|Pastor Eurico
204570|Pastor Gil
204553|Pastor Sargento Isidório
74160|Patrus Ananias
204377|Paula Belmonte
171617|Paulão
141516|Paulo Abi-Ackel
178860|Paulo Azi
204538|Paulo Bengtson
193726|Paulo Eduardo Martins
160558|Paulo Freire Costa
204461|Paulo Ganime
204492|Paulo Guedes
74574|Paulo Magalhães
141518|Paulo Pereira da Silva
74400|Paulo Pimenta
133968|Paulo Ramos
141488|Paulo Teixeira
216544|Paulo Vicente Caleffi
90201|Pedro Augusto Bezerra
215045|Pedro Augusto Palareti
122974|Pedro Lucas Fernandes
204395|Pedro Lupion
160604|Pedro Uczai
178844|Pedro Vilela
204406|Pedro Westphalen
73943|Perpétua Almeida
204524|Pinheirinho
204529|Policial Katia Sastre
73486|Pompeo de Mattos
160601|Pr. Marco Feliciano
204390|Professor Alcides
204383|Professor Israel Batista
204446|Professor Joziel
204565|Professora Dayane Pimentel
160639|Professora Dorinha Seabra Rezende
160641|Professora Marcivania
204467|Professora Rosa Neide
178951|Rafael Motta
216313|Rafafá
204567|Raimundo Costa
141523|Raul Henry
74161|Reginaldo Lopes
205865|Reinhold Stephanes Junior
178925|Rejane Dias
178989|Renata Abreu
73801|Renildo Calheiros
73788|Ricardo Barros
215042|Ricardo da Karol
204362|Ricardo Guidi
160655|Ricardo Izar
213274|Ricardo Silva
178920|Ricardo Teobaldo
152610|Roberto Alves
160653|Roberto de Lucena
204530|Rodrigo Agostinho
204366|Rodrigo Coelho
141531|Rodrigo de Castro
74693|Rodrigo Maia
204480|Rogério Correia
160651|Rogério Peninha Mendonça
178930|Roman
178861|Ronaldo Carletto
204525|Rosana Valle
178945|Rosangela Gomes
204357|Rose Modesto
178935|Rossoni
73466|Rubens Bueno
74371|Rubens Otoni
73604|Rui Falcão
204535|Sâmia Bomfim
178990|Samuel Moreira
204416|Sanderson
204387|Sargento Fahur
178921|Sebastião Oliveira
73808|Sérgio Brito
178933|Sergio Souza
204438|Sergio Toledo
204437|Severino Pessoa
178961|Shéridan
204557|Sidney Leite
74356|Silas Câmara
204360|Silvia Cristina
204425|Silvio Costa Filho
178946|Soraya Santos
178947|Sóstenes Cavalcante
92776|Stefano Aguiar
177282|Subtenente Gonzaga
204534|Tabata Amaral
178922|Tadeu Alencar
204464|Talíria Petrone
206231|Ted Conti
204466|Tereza Nelma
178862|Tia Eron
143084|Tiago Dimas
204519|Tiago Mitraud
160976|Tiririca
197438|Tito
