year|month|cost_type|mean
2019|1|ASSINATURA DE PUBLICAÇÕES|2430.0
2019|1|COMBUSTÍVEIS E LUBRIFICANTES.|408.57
2019|1|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|8995.98
2019|1|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|8903.13
2019|1|FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR|68.26
2019|1|HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.|762.86
2019|1|LOCAÇÃO OU FRETAMENTO DE AERONAVES|34000.0
2019|1|LOCAÇÃO OU FRETAMENTO DE EMBARCAÇÕES|3000.0
2019|1|LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES|5255.61
2019|1|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1146.54
2019|1|PASSAGEM AÉREA - REEMBOLSO|1246.22
2019|1|PASSAGEM AÉREA - RPA|919.47
2019|1|PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS|154.01
2019|1|SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.|1945.92
2019|1|SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO|89.07
2019|1|SERVIÇOS POSTAIS|116.7
2019|1|TELEFONIA|214.56
2019|2|COMBUSTÍVEIS E LUBRIFICANTES.|598.5
2019|2|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|15000.0
2019|2|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|14666.67
2019|2|FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR|84.34
2019|2|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1027.0
2019|2|PASSAGEM AÉREA - REEMBOLSO|7223.55
2019|2|PASSAGEM AÉREA - RPA|-28.78
2019|2|TELEFONIA|9.34
2019|3|COMBUSTÍVEIS E LUBRIFICANTES.|549.63
2019|3|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|28000.0
2019|3|DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.|20000.0
2019|3|MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR|1098.38
2019|3|PASSAGEM AÉREA - REEMBOLSO|22500.0
2019|3|TELEFONIA|19.47
2019|4|COMBUSTÍVEIS E LUBRIFICANTES.|671.71
2019|4|CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.|28000.0
